
Module             PSEdition CommandType Name
------             --------- ----------- ----
Mdm_DevEnv_Install              Function Get-DevEnvVersions
Mdm_DevEnv_Install              Function Install-DevEnvOsWin
Mdm_DevEnv_Install              Function Install-DevEnvModules
Mdm_DevEnv_Install              Function Install-DevEnvIdeWin
Mdm_DevEnv_Install              Function Install-DevEnvLlmWin
Mdm_DevEnv_Install              Function Install-DevEnvWhisperWin
Mdm_DevEnv_Install              Function Install-DevEnvWin
Mdm_DevEnv_Install              Function Install-DevEnv
Mdm_DevEnv_Install              Function DevEnvGui
Mdm_DevEnv_Install                 Alias Get-Vs
Mdm_DevEnv_Install                 Alias IWinLlm
Mdm_DevEnv_Install                 Alias IWinIde
Mdm_DevEnv_Install                 Alias IWinOs
Mdm_DevEnv_Install                 Alias IDevEnv
Mdm_DevEnv_Install                 Alias IDevEnvWin

